"id","condition","AVI.id","procjust","interjust","orgjust","genatrct","intpurs","prest","orgatrct","compete","socresp","support","innovate"
113,"AVI",1,3.11,1.89,2.5,2.8,2,2.8,2.53,5,2.75,1.25,3.5
113,"Traditional",0,4.67,4.89,4.78,4.2,5,5,4.73,3.75,4.75,4.75,3
114,"AVI",1,2.78,3.22,3,3.4,4,2.6,3.33,3.75,3.75,3.25,3
114,"Traditional",0,2.78,3.22,3,3,2.6,2.4,2.67,3.75,3.75,3.5,3.25
115,"AVI",1,3.33,2.89,3.11,3.8,4.6,4.2,4.2,3.75,3.5,2.5,3.25
115,"Traditional",0,2.78,4.11,3.45,4,4.8,4.4,4.4,3.5,4.25,4.25,4
116,"AVI",1,2.67,2.67,2.67,2.4,2.8,3.6,2.93,2.75,3,2.5,4
116,"Traditional",0,4,4.33,4.16,3.8,4.8,4.4,4.33,3.75,4,4,3.5
117,"AVI",1,3.22,2.33,2.78,2.6,2.8,2.6,2.67,3.25,3,2.5,3.25
117,"Traditional",0,3.56,3.78,3.67,3.8,4.2,4.4,4.13,4,4.25,4.25,3.5
118,"AVI",1,3,3.22,3.11,3.6,2.8,2.8,3.07,3,2.25,2.25,3.75
118,"Traditional",0,3.78,4.11,3.95,3.6,3.8,3.6,3.67,3,3,3,2.75
119,"AVI",1,3.33,3.11,3.22,3.2,4,3.8,3.67,3.75,4,4,3.75
119,"Traditional",0,2.78,3.89,3.34,3.6,4,3.6,3.73,3.75,4,4,3.75
120,"AVI",1,2,2.67,2.34,3.4,4.2,4.6,4.07,2,2.75,1.5,4.5
120,"Traditional",0,3.56,4.67,4.12,4.2,5,4.2,4.47,4.25,4.25,4.25,3.75
121,"AVI",1,2.67,2.89,2.78,2.8,3,4,3.27,3.75,2.75,2,4
121,"Traditional",0,3.67,3.89,3.78,3.4,NA,3.8,NA,3.75,3.75,3.75,2.5
122,"AVI",1,2.56,1.67,2.12,3.2,3.6,3.4,3.4,2.5,2.25,1.5,2.25
122,"Traditional",0,3.89,4.89,4.39,3.8,4.8,4.4,4.33,3.75,4,4.75,5
123,"AVI",1,3.11,3.56,3.34,3,3.6,3,3.2,3.5,2.5,3.25,2.5
123,"Traditional",0,2.44,4.56,3.5,3.2,3.8,4,3.67,2.75,3.5,4,2.5
124,"AVI",1,2.89,2.44,2.66,2.8,3,3.8,3.2,4.25,3,2.5,4.25
124,"Traditional",0,3.78,5,4.39,3.4,4,3.8,3.73,3.5,4.5,4,2.5
125,"AVI",1,2.22,2.89,2.56,3.4,2.2,2.2,2.6,3,3.5,3.25,3
125,"Traditional",0,2.89,3.44,3.16,3.4,3.2,3.4,3.33,4.5,4,3.75,4.75
